"subscriptionId","resourceGroup","name","type","location","totalTags","estadoEtiquetado","tagsActuales"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","defaultresourcegroup-eus","DefaultWorkspace-720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78-EUS","microsoft.operationalinsights/workspaces","eastus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","srv-mongo_group","respaldoDesarrollo","microsoft.recoveryservices/vaults","southcentralus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","gprotgautomation","gProtGAutomationOMS","microsoft.operationalinsights/workspaces","eastus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgprod","S2SConprotg","microsoft.network/connections","southcentralus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgprod","lgwgProtg","microsoft.network/localnetworkgateways","southcentralus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","osticket-webapp","pruebaost20jul","microsoft.dbformysql/flexibleservers","southcentralus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","osticket-webapp","Aviso de errores","microsoft.insights/actiongroups","global","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","osticket-webapp","Migration_AG1","microsoft.insights/actiongroups","global","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgprod","vmcontpaq315","microsoft.network/networkinterfaces","southcentralus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","osticket-webapp","certificadossltickets2024a2025","microsoft.web/certificates","southcentralus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgprod","AzurePerformanceDiagnostics","microsoft.compute/virtualmachines/extensions","southcentralus","","Etiquetado alto",""
"b428f40f-25ce-4000-b888-b850b9ffd789","networkwatcherrg","NetworkWatcher_eastus","microsoft.network/networkwatchers","eastus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgweb","hesk-wapp","microsoft.web/sites","southcentralus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","gprotgautomation","StartStop_VM_Notification","microsoft.insights/actiongroups","global","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgprod","vmcontpaq","microsoft.sqlvirtualmachine/sqlvirtualmachines","southcentralus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgprod","svRecoveryGrupoProtg","microsoft.recoveryservices/vaults","southcentralus","","Etiquetado alto",""
